experiment,enzyme_id,regime,seq_id,mean_cat_rmsd,std_cat_rmsd,structural_variance,n_models
1ca2_motif_only,1ca2,motif_only,design_0_design_0,15.014322315728554,15.235335004357722,17.993506876360424,5
1ca2_motif_only,1ca2,motif_only,design_10_T_0.1,10.587913146200751,4.8734178156325845,6.747477049039089,5
1ca2_motif_only,1ca2,motif_only,design_10_design_10,15.014322315728554,15.235335004357722,17.993506876360424,5
1ca2_motif_only,1ca2,motif_only,design_11_T_0.1,1.39502060965314,0.27780061846752824,0.33627164013060395,5
1ca2_motif_only,1ca2,motif_only,design_11_design_11,15.014322315728554,15.235335004357722,17.993506876360424,5
1ca2_motif_only,1ca2,motif_only,design_12_design_12,15.014322315728554,15.235335004357722,17.993506876360424,5
1ca2_motif_only,1ca2,motif_only,design_13_T_0.1,1.9713793293926045,0.32329415542666284,0.6465883108533257,2
1ca2_motif_only,1ca2,motif_only,design_13_design_13,15.014322315728554,15.235335004357722,17.993506876360424,5
1ca2_motif_only,1ca2,motif_only,design_14_design_14,15.014322315728554,15.235335004357722,17.993506876360424,5
1ca2_motif_only,1ca2,motif_only,design_15_design_15,15.014322315728554,15.235335004357722,17.993506876360424,5
1ca2_motif_only,1ca2,motif_only,design_16_design_16,15.014322315728554,15.235335004357722,17.993506876360424,5
1ca2_motif_only,1ca2,motif_only,design_17_T_0.1,5.91622649155297,4.963275180958508,9.926550361917018,2
1ca2_motif_only,1ca2,motif_only,design_17_design_17,15.014322315728554,15.235335004357722,17.993506876360424,5
1ca2_motif_only,1ca2,motif_only,design_18_T_0.1,1.7264176774658462,0.10393425626002828,0.14106511213888778,5
1ca2_motif_only,1ca2,motif_only,design_18_design_18,15.014322315728554,15.235335004357722,17.993506876360424,5
1ca2_motif_only,1ca2,motif_only,design_19_design_19,15.014322315728554,15.235335004357722,17.993506876360424,5
1ca2_motif_only,1ca2,motif_only,design_1_design_1,15.014322315728554,15.235335004357722,17.993506876360424,5
1ca2_motif_only,1ca2,motif_only,design_2_design_2,15.014322315728554,15.235335004357722,17.993506876360424,5
1ca2_motif_only,1ca2,motif_only,design_3_T_0.1,5.598301857013752,2.5599803609627614,3.4275887283418527,5
1ca2_motif_only,1ca2,motif_only,design_3_design_3,15.014322315728554,15.235335004357722,17.993506876360424,5
1ca2_motif_only,1ca2,motif_only,design_4_T_0.1,5.17727419770588,1.3668049279934684,1.8592412071119828,5
1ca2_motif_only,1ca2,motif_only,design_4_design_4,15.014322315728554,15.235335004357722,17.993506876360424,5
1ca2_motif_only,1ca2,motif_only,design_5_design_5,15.014322315728554,15.235335004357722,17.993506876360424,5
1ca2_motif_only,1ca2,motif_only,design_6_design_6,15.014322315728554,15.235335004357722,17.993506876360424,5
1ca2_motif_only,1ca2,motif_only,design_7_T_0.1,3.9464352733219954,0.6641283593704488,0.8495665125364983,5
1ca2_motif_only,1ca2,motif_only,design_7_design_7,15.014322315728554,15.235335004357722,17.993506876360424,5
1ca2_motif_only,1ca2,motif_only,design_8_T_0.1,3.975224970180728,1.9632418883567806,2.6138717223246832,5
1ca2_motif_only,1ca2,motif_only,design_8_design_8,15.014322315728554,15.235335004357722,17.993506876360424,5
1ca2_motif_only,1ca2,motif_only,design_9_T_0.1,7.59894672700018,4.2197642694885245,8.439528538977049,2
1ca2_motif_only,1ca2,motif_only,design_9_design_9,15.014322315728554,15.235335004357722,17.993506876360424,5
1ca2_shell5,1ca2,shell5,design_0_T_0.1,5.163250025865873,2.343068245109767,3.310592754337686,5
1ca2_shell5,1ca2,shell5,design_0_design_0,5.633982454055607,1.97693104874298,2.6720812298544487,5
1ca2_shell5,1ca2,shell5,design_10_T_0.1,0.4997330436054904,0.04100606544429978,0.05696177693789086,5
1ca2_shell5,1ca2,shell5,design_10_design_10,5.633982454055607,1.97693104874298,2.6720812298544487,5
1ca2_shell5,1ca2,shell5,design_11_T_0.1,2.6562290923399168,0.5526310052785486,0.7713157466909244,5
1ca2_shell5,1ca2,shell5,design_11_design_11,5.633982454055607,1.97693104874298,2.6720812298544487,5
1ca2_shell5,1ca2,shell5,design_12_T_0.1,3.972894762384464,1.2612125880099647,1.6398875325786015,5
1ca2_shell5,1ca2,shell5,design_12_design_12,5.633982454055607,1.97693104874298,2.6720812298544487,5
1ca2_shell5,1ca2,shell5,design_13_T_0.1,0.7962254070236451,0.2284807877085387,0.2913331632776518,5
1ca2_shell5,1ca2,shell5,design_13_design_13,5.633982454055607,1.97693104874298,2.6720812298544487,5
1ca2_shell5,1ca2,shell5,design_14_T_0.1,0.5318814260719652,0.058773084426329836,0.07331888345663563,5
1ca2_shell5,1ca2,shell5,design_14_design_14,5.633982454055607,1.97693104874298,2.6720812298544487,5
1ca2_shell5,1ca2,shell5,design_15_T_0.1,0.6522220216708478,0.10951799479679794,0.1503169262307466,5
1ca2_shell5,1ca2,shell5,design_15_design_15,5.633982454055607,1.97693104874298,2.6720812298544487,5
1ca2_shell5,1ca2,shell5,design_16_T_0.1,0.6662909864163672,0.4339449662358618,0.5105901089328208,5
1ca2_shell5,1ca2,shell5,design_16_design_16,5.633982454055607,1.97693104874298,2.6720812298544487,5
1ca2_shell5,1ca2,shell5,design_17_T_0.1,0.5887800880484715,0.12720396611266835,0.15696478189830293,5
1ca2_shell5,1ca2,shell5,design_17_design_17,5.633982454055607,1.97693104874298,2.6720812298544487,5
1ca2_shell5,1ca2,shell5,design_18_T_0.1,2.2431408410373406,1.003617409709336,1.2814578297743366,5
1ca2_shell5,1ca2,shell5,design_18_design_18,5.633982454055607,1.97693104874298,2.6720812298544487,5
1ca2_shell5,1ca2,shell5,design_19_T_0.1,3.3558349835495145,0.10176328085224001,0.13653616638310853,5
1ca2_shell5,1ca2,shell5,design_19_design_19,5.633982454055607,1.97693104874298,2.6720812298544487,5
1ca2_shell5,1ca2,shell5,design_1_T_0.1,5.6458583644240345,2.611696114579064,3.3581630385811065,5
1ca2_shell5,1ca2,shell5,design_1_design_1,5.633982454055607,1.97693104874298,2.6720812298544487,5
1ca2_shell5,1ca2,shell5,design_2_T_0.1,0.6338219491028129,0.14397171846426204,0.18512140324921073,5
1ca2_shell5,1ca2,shell5,design_2_design_2,5.633982454055607,1.97693104874298,2.6720812298544487,5
1ca2_shell5,1ca2,shell5,design_3_T_0.1,2.9056594785915957,0.5880778386524946,0.7633330831373627,5
1ca2_shell5,1ca2,shell5,design_3_design_3,5.633982454055607,1.97693104874298,2.6720812298544487,5
1ca2_shell5,1ca2,shell5,design_4_T_0.1,2.417805775267638,0.9177158103340718,1.0190301942208009,5
1ca2_shell5,1ca2,shell5,design_4_design_4,5.633982454055607,1.97693104874298,2.6720812298544487,5
1ca2_shell5,1ca2,shell5,design_5_T_0.1,4.11038735412435,1.3184775735245662,1.71265224390236,5
1ca2_shell5,1ca2,shell5,design_5_design_5,5.633982454055607,1.97693104874298,2.6720812298544487,5
1ca2_shell5,1ca2,shell5,design_6_T_0.1,2.5840630093498698,1.0735580867177514,1.3539199767682144,5
1ca2_shell5,1ca2,shell5,design_6_design_6,5.633982454055607,1.97693104874298,2.6720812298544487,5
1ca2_shell5,1ca2,shell5,design_7_T_0.1,4.501293590930258,1.4114750394328581,1.9012407716119477,5
1ca2_shell5,1ca2,shell5,design_7_design_7,5.633982454055607,1.97693104874298,2.6720812298544487,5
1ca2_shell5,1ca2,shell5,design_8_T_0.1,2.566873830628188,1.090151276293866,1.394989461074751,5
1ca2_shell5,1ca2,shell5,design_8_design_8,5.633982454055607,1.97693104874298,2.6720812298544487,5
1ca2_shell5,1ca2,shell5,design_9_T_0.1,2.1825082184458307,0.5711301575629495,0.7813619157119399,5
1ca2_shell5,1ca2,shell5,design_9_design_9,5.633982454055607,1.97693104874298,2.6720812298544487,5
1ca2_shell8,1ca2,shell8,design_0_T_0.1,2.3938319418203875,0.3866612877711622,0.5199259172248436,5
1ca2_shell8,1ca2,shell8,design_0_design_0,2.117383143818088,1.1211644924975788,1.4861633654497752,5
1ca2_shell8,1ca2,shell8,design_10_T_0.1,4.674177406968394,1.5948207367227787,2.115433484779353,5
1ca2_shell8,1ca2,shell8,design_10_design_10,2.117383143818088,1.1211644924975788,1.4861633654497752,5
1ca2_shell8,1ca2,shell8,design_11_T_0.1,1.6258714266955576,0.478244103110059,0.6513428242327916,5
1ca2_shell8,1ca2,shell8,design_11_design_11,2.117383143818088,1.1211644924975788,1.4861633654497752,5
1ca2_shell8,1ca2,shell8,design_12_T_0.1,4.576597186567565,0.6367202801102093,0.8932338831847231,5
