experiment,enzyme_id,regime,seq_id,rank,model,catalytic_rmsd,plddt_global,plddt_catalytic,n_residues,pdb_file
1ppf_motif_only,1ppf,motif_only,design_0_T_0.1,1,1,3.297348141498103,79.04553333333334,66.84666666666666,150,/hpc/group/naderilab/darian/Enz/results/colabfold/1ppf_motif_only/design_0_T_0.1_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb
1ppf_motif_only,1ppf,motif_only,design_0_design_0,1,5,37.71402590326795,34.778000000000006,39.126666666666665,150,/hpc/group/naderilab/darian/Enz/results/colabfold/1ppf_motif_only/design_0_design_0_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb
1ppf_motif_only,1ppf,motif_only,design_0_design_0,2,4,8.909483333728645,31.36926666666666,34.52,150,/hpc/group/naderilab/darian/Enz/results/colabfold/1ppf_motif_only/design_0_design_0_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb
1ppf_motif_only,1ppf,motif_only,design_0_design_0,3,1,2.340685641226933,29.098933333333335,27.156666666666666,150,/hpc/group/naderilab/darian/Enz/results/colabfold/1ppf_motif_only/design_0_design_0_unrelaxed_rank_003_alphafold2_ptm_model_1_seed_000.pdb
1ppf_motif_only,1ppf,motif_only,design_0_design_0,4,2,3.8049790613216827,26.34593333333333,24.95,150,/hpc/group/naderilab/darian/Enz/results/colabfold/1ppf_motif_only/design_0_design_0_unrelaxed_rank_004_alphafold2_ptm_model_2_seed_000.pdb
1ppf_motif_only,1ppf,motif_only,design_0_design_0,5,3,4.192806314150703,24.983133333333335,28.916666666666668,150,/hpc/group/naderilab/darian/Enz/results/colabfold/1ppf_motif_only/design_0_design_0_unrelaxed_rank_005_alphafold2_ptm_model_3_seed_000.pdb
1ppf_motif_only,1ppf,motif_only,design_10_T_0.1,1,1,1.8262060223334615,75.045,75.52,150,/hpc/group/naderilab/darian/Enz/results/colabfold/1ppf_motif_only/design_10_T_0.1_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb
1ppf_motif_only,1ppf,motif_only,design_10_design_10,1,5,37.71402590326795,34.778000000000006,39.126666666666665,150,/hpc/group/naderilab/darian/Enz/results/colabfold/1ppf_motif_only/design_10_design_10_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb
1ppf_motif_only,1ppf,motif_only,design_10_design_10,2,4,8.909483333728645,31.36926666666666,34.52,150,/hpc/group/naderilab/darian/Enz/results/colabfold/1ppf_motif_only/design_10_design_10_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb
1ppf_motif_only,1ppf,motif_only,design_10_design_10,3,1,2.340685641226933,29.098933333333335,27.156666666666666,150,/hpc/group/naderilab/darian/Enz/results/colabfold/1ppf_motif_only/design_10_design_10_unrelaxed_rank_003_alphafold2_ptm_model_1_seed_000.pdb
1ppf_motif_only,1ppf,motif_only,design_10_design_10,4,2,3.8049790613216827,26.34593333333333,24.95,150,/hpc/group/naderilab/darian/Enz/results/colabfold/1ppf_motif_only/design_10_design_10_unrelaxed_rank_004_alphafold2_ptm_model_2_seed_000.pdb
1ppf_motif_only,1ppf,motif_only,design_10_design_10,5,3,4.192806314150703,24.983133333333335,28.916666666666668,150,/hpc/group/naderilab/darian/Enz/results/colabfold/1ppf_motif_only/design_10_design_10_unrelaxed_rank_005_alphafold2_ptm_model_3_seed_000.pdb
1ppf_motif_only,1ppf,motif_only,design_11_T_0.1,1,5,1.3182661377294613,70.55653333333333,77.62666666666667,150,/hpc/group/naderilab/darian/Enz/results/colabfold/1ppf_motif_only/design_11_T_0.1_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb
1ppf_motif_only,1ppf,motif_only,design_11_T_0.1,2,3,10.216137411661022,54.459066666666665,57.95666666666667,150,/hpc/group/naderilab/darian/Enz/results/colabfold/1ppf_motif_only/design_11_T_0.1_unrelaxed_rank_002_alphafold2_ptm_model_3_seed_000.pdb
1ppf_motif_only,1ppf,motif_only,design_11_T_0.1,3,2,10.314874572989686,53.03746666666667,55.07666666666666,150,/hpc/group/naderilab/darian/Enz/results/colabfold/1ppf_motif_only/design_11_T_0.1_unrelaxed_rank_003_alphafold2_ptm_model_2_seed_000.pdb
1ppf_motif_only,1ppf,motif_only,design_11_T_0.1,4,4,10.006162899960533,51.62773333333333,50.96666666666667,150,/hpc/group/naderilab/darian/Enz/results/colabfold/1ppf_motif_only/design_11_T_0.1_unrelaxed_rank_004_alphafold2_ptm_model_4_seed_000.pdb
1ppf_motif_only,1ppf,motif_only,design_11_T_0.1,5,1,10.332864351136177,49.1228,46.75,150,/hpc/group/naderilab/darian/Enz/results/colabfold/1ppf_motif_only/design_11_T_0.1_unrelaxed_rank_005_alphafold2_ptm_model_1_seed_000.pdb
1ppf_motif_only,1ppf,motif_only,design_11_design_11,1,5,37.71402590326795,34.778000000000006,39.126666666666665,150,/hpc/group/naderilab/darian/Enz/results/colabfold/1ppf_motif_only/design_11_design_11_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb
1ppf_motif_only,1ppf,motif_only,design_11_design_11,2,4,8.909483333728645,31.36926666666666,34.52,150,/hpc/group/naderilab/darian/Enz/results/colabfold/1ppf_motif_only/design_11_design_11_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb
1ppf_motif_only,1ppf,motif_only,design_11_design_11,3,1,2.340685641226933,29.098933333333335,27.156666666666666,150,/hpc/group/naderilab/darian/Enz/results/colabfold/1ppf_motif_only/design_11_design_11_unrelaxed_rank_003_alphafold2_ptm_model_1_seed_000.pdb
1ppf_motif_only,1ppf,motif_only,design_11_design_11,4,2,3.8049790613216827,26.34593333333333,24.95,150,/hpc/group/naderilab/darian/Enz/results/colabfold/1ppf_motif_only/design_11_design_11_unrelaxed_rank_004_alphafold2_ptm_model_2_seed_000.pdb
1ppf_motif_only,1ppf,motif_only,design_11_design_11,5,3,4.192806314150703,24.983133333333335,28.916666666666668,150,/hpc/group/naderilab/darian/Enz/results/colabfold/1ppf_motif_only/design_11_design_11_unrelaxed_rank_005_alphafold2_ptm_model_3_seed_000.pdb
1ppf_motif_only,1ppf,motif_only,design_12_T_0.1,1,1,1.9596324680760804,74.75586666666668,67.93333333333334,150,/hpc/group/naderilab/darian/Enz/results/colabfold/1ppf_motif_only/design_12_T_0.1_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb
1ppf_motif_only,1ppf,motif_only,design_12_design_12,1,5,37.71402590326795,34.778000000000006,39.126666666666665,150,/hpc/group/naderilab/darian/Enz/results/colabfold/1ppf_motif_only/design_12_design_12_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb
1ppf_motif_only,1ppf,motif_only,design_12_design_12,2,4,8.909483333728645,31.36926666666666,34.52,150,/hpc/group/naderilab/darian/Enz/results/colabfold/1ppf_motif_only/design_12_design_12_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb
1ppf_motif_only,1ppf,motif_only,design_12_design_12,3,1,2.340685641226933,29.098933333333335,27.156666666666666,150,/hpc/group/naderilab/darian/Enz/results/colabfold/1ppf_motif_only/design_12_design_12_unrelaxed_rank_003_alphafold2_ptm_model_1_seed_000.pdb
1ppf_motif_only,1ppf,motif_only,design_12_design_12,4,2,3.8049790613216827,26.34593333333333,24.95,150,/hpc/group/naderilab/darian/Enz/results/colabfold/1ppf_motif_only/design_12_design_12_unrelaxed_rank_004_alphafold2_ptm_model_2_seed_000.pdb
1ppf_motif_only,1ppf,motif_only,design_12_design_12,5,3,4.192806314150703,24.983133333333335,28.916666666666668,150,/hpc/group/naderilab/darian/Enz/results/colabfold/1ppf_motif_only/design_12_design_12_unrelaxed_rank_005_alphafold2_ptm_model_3_seed_000.pdb
1ppf_motif_only,1ppf,motif_only,design_13_T_0.1,1,1,2.6291104512682852,76.98546666666667,68.48,150,/hpc/group/naderilab/darian/Enz/results/colabfold/1ppf_motif_only/design_13_T_0.1_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb
1ppf_motif_only,1ppf,motif_only,design_13_design_13,1,5,37.71402590326795,34.778000000000006,39.126666666666665,150,/hpc/group/naderilab/darian/Enz/results/colabfold/1ppf_motif_only/design_13_design_13_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb
1ppf_motif_only,1ppf,motif_only,design_13_design_13,2,4,8.909483333728645,31.36926666666666,34.52,150,/hpc/group/naderilab/darian/Enz/results/colabfold/1ppf_motif_only/design_13_design_13_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb
1ppf_motif_only,1ppf,motif_only,design_13_design_13,3,1,2.340685641226933,29.098933333333335,27.156666666666666,150,/hpc/group/naderilab/darian/Enz/results/colabfold/1ppf_motif_only/design_13_design_13_unrelaxed_rank_003_alphafold2_ptm_model_1_seed_000.pdb
1ppf_motif_only,1ppf,motif_only,design_13_design_13,4,2,3.8049790613216827,26.34593333333333,24.95,150,/hpc/group/naderilab/darian/Enz/results/colabfold/1ppf_motif_only/design_13_design_13_unrelaxed_rank_004_alphafold2_ptm_model_2_seed_000.pdb
1ppf_motif_only,1ppf,motif_only,design_13_design_13,5,3,4.192806314150703,24.983133333333335,28.916666666666668,150,/hpc/group/naderilab/darian/Enz/results/colabfold/1ppf_motif_only/design_13_design_13_unrelaxed_rank_005_alphafold2_ptm_model_3_seed_000.pdb
1ppf_motif_only,1ppf,motif_only,design_14_T_0.1,1,1,1.2186258202942803,77.7068,68.58333333333333,150,/hpc/group/naderilab/darian/Enz/results/colabfold/1ppf_motif_only/design_14_T_0.1_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb
